#ZSP	IVOO	VIOO	ZCN	VEE	VIU	ZAG	VBG	VBU	HEP
33.57	112.349998	125.370003	20.690001	28.879999	24.57	15.61	26.6	24.719999	24
33.419998	112.760002	126.120003	20.76	29.24	24.48	15.63	26.6	24.77	25.34
33.110001	111.660004	124.650002	20.610001	28.9	24.469999	15.66	26.52	24.83	24.48
33.360001	111.93	124.970001	20.75	29.23	24.610001	15.63	26.49	24.799999	25.15
33.25	111.309998	124.510002	20.9	29.24	24.65	15.68	26.450001	24.870001	25.17
33.09	112.120003	125.050003	21	29.4	24.790001	15.7	26.530001	24.969999	26.41
33.18	113.940002	127.260002	20.9	29.25	24.66	15.65	26.469999	24.889999	25.6
33.09	113.080002	125.510002	20.75	29.190001	24.6	15.68	26.5	24.93	25.780001
33.049999	112.949997	124.690002	20.809999	29.4	24.57	15.69	26.49	24.940001	25.74
33.009998	112.230003	123.589996	20.889999	29.469999	24.57	15.69	26.530001	24.940001	25.559999
32.849998	112.910004	124.779999	20.799999	29.459999	24.610001	15.71	26.52	24.950001	25.57
32.869999	113.309998	125.18	20.889999	29.42	24.700001	15.66	26.49	24.879999	25.809999
33.07	112.779999	123.860001	20.860001	29.469999	24.73	15.69	26.49	24.959999	26.059999
32.59	113.32	124.75	20.82	29.18	24.5	15.7	26.51	24.98	26.25
33.169998	112.339996	123.120003	20.75	29.559999	24.690001	15.68	26.450001	24.83	26
33.189999	112.860001	123.599998	20.790001	29.6	24.82	15.63	26.42	24.790001	26.23
33.310001	112.029999	122.400002	20.969999	29.700001	24.98	15.63	26.379999	24.82	26.309999
33.099998	112.57	122.980003	20.889999	29.969999	24.879999	15.69	26.440001	24.92	26.969999
33.049999	112.309998	122.580002	21.07	29.950001	24.74	15.61	26.42	24.83	26.950001
33.080002	113.980003	124.370003	21.1	29.98	24.799999	15.55	26.309999	24.75	26.59
33.130001	114.900002	125.75	21.07	29.950001	24.879999	15.52	26.309999	24.809999	26.049999
33.189999	114.459999	125.010002	21	30.040001	24.91	15.55	26.35	24.83	26.09
32.959999	113.980003	124.440002	20.790001	29.85	24.719999	15.56	26.290001	24.809999	26.08
32.669998	113.099998	122.900002	20.780001	29.620001	24.57	15.59	26.309999	24.83	26.85
32.759998	113.360001	123.709999	20.799999	29.799999	24.709999	15.58	26.290001	24.73	26.91
32.709999	113.089996	123.599998	20.790001	29.83	24.66	15.6	26.299999	24.77	27.299999
32.950001	113.18	122.970001	20.889999	30.01	24.799999	15.59	26.24	24.76	27.360001
33.02	114.639999	124.949997	20.870001	30.09	24.74	15.65	26.290001	24.82	28.190001
33.25	114.190002	123.800003	20.93	30.139999	24.870001	15.67	26.34	24.879999	28.24
33.259998	113.830002	123.410004	20.99	30.360001	24.950001	15.73	26.379999	24.93	28.379999
33.41	113.889999	123.169998	21.08	30.51	24.969999	15.67	26.389999	24.879999	28.1
33.41	115.040001	125.120003	21.25	30.629999	24.950001	15.65	26.370001	24.83	28.280001
33.549999	115.639999	126.239998	21.280001	30.76	24.92	15.62	26.360001	24.82	28.120001
33.669998	115.949997	126.580002	21.33	30.77	24.92	15.59	26.360001	24.75	27.950001
33.860001	116.309998	126.790001	21.4	30.99	25.049999	15.57	26.35	24.719999	27.790001
33.849998	116.650002	127.529999	21.42	30.91	25.120001	15.6	26.35	24.809999	28.059999
33.939999	116.519997	127.309998	21.4	30.83	25.110001	15.66	26.42	24.860001	27.57
34.290001	116.559998	127.089996	21.49	31.23	25.290001	15.62	26.389999	24.860001	27.4
34.240002	117.610001	128.190002	21.41	31.309999	25.32	15.64	26.440001	24.870001	26.950001
34.18	117.239998	127.790001	21.32	31.25	25.290001	15.64	26.48	24.91	26.950001
34.220001	116.639999	126.800003	21	30.9	25.09	15.71	26.559999	25.01	26.58
34.41	116.739998	126.650002	21	30.9	25.209999	15.68	26.530001	24.950001	25.35
34.630001	117.589996	127.860001	20.860001	30.959999	25.299999	15.68	26.559999	24.92	25.58
35.27	116.309998	125.779999	21.1	31.530001	25.799999	15.64	26.459999	24.799999	25.75
35.23	118.300003	128.089996	21.02	31.120001	25.66	15.64	26.469999	24.76	24.68
35.189999	116.93	126.589996	21.120001	31.360001	25.82	15.64	26.450001	24.76	24.99
35.18	116.989998	126.339996	21.15	31.469999	25.709999	15.65	26.450001	24.77	24.360001
35.040001	116.300003	125.459999	21.110001	31.5	25.68	15.62	26.43	24.709999	24.18
35.200001	115.629997	124.529999	20.969999	31.379999	25.74	15.57	26.4	24.66	24.23
35.240002	115.080002	123.709999	20.98	31.15	25.889999	15.54	26.299999	24.59	23.969999
35.259998	114.620003	122.980003	20.98	31.280001	25.99	15.54	26.299999	24.629999	24.610001
35.259998	115.209999	123.660004	21.059999	31.65	26.08	15.52	26.27	24.57	24.57
35.23	115.389999	124.010002	20.84	31.559999	26	15.52	26.27	24.57	24.02
35.049999	114.949997	123.440002	21.030001	31.9	26.059999	15.59	26.360001	24.709999	25.4
35.09	116.440002	125.440002	21.09	32.209999	26.18	15.59	26.32	24.690001	25.379999
35.029999	116.389999	125.57	21	32.150002	26.299999	15.61	26.33	24.75	25.17
35	116.5	126.330002	20.92	32.5	26.280001	15.65	26.34	24.77	25.43
34.599998	115.940002	125.639999	20.74	32.130001	26.17	15.66	26.34	24.870001	26
34.580002	113.720001	122.440002	20.790001	32.130001	26.059999	15.69	26.34	24.879999	26.09
34.599998	113.830002	122.099998	20.91	32.189999	26.15	15.7	26.43	24.870001	25.799999
34.689999	114.040001	122.889999	20.93	32.360001	26.299999	15.75	26.450001	24.9	25.969999
34.619999	113.910004	122.830002	21.02	32.25	26.370001	15.77	26.450001	24.92	26.34
34.759998	113.730003	122.900002	21	32.34	26.459999	15.71	26.43	24.870001	25.65
34.630001	114.68	124.040001	21.09	32.259998	26.41	15.72	26.48	24.879999	25.639999
34.720001	114.940002	124.309998	20.98	32.110001	26.32	15.71	26.530001	24.870001	25.15
34.66	115.639999	125.519997	20.969999	31.790001	26.110001	15.71	26.48	24.870001	25.459999
34.740002	115.68	125.629997	21	32.200001	26.280001	15.75	26.559999	24.9	25.84
34.810001	115.040001	123.309998	21.1	32.360001	26.370001	15.77	26.58	24.879999	26.120001
34.759998	114.830002	123.370003	21.1	32.34	26.290001	15.78	26.52	24.950001	26.26
34.830002	114.089996	122.139999	21.16	32.240002	26.24	15.81	26.6	24.93	26.309999
34.779999	114.940002	123.269997	21.120001	32.240002	26.209999	15.78	26.610001	24.889999	26.389999
34.59	114.800003	123.309998	21.219999	31.9	26.040001	15.76	26.59	24.9	26.4
34.52	115.120003	123.610001	21.200001	31.92	26.129999	15.83	26.59	24.99	27.08
34.259998	115.830002	124.629997	21.1	31.879999	26.030001	15.84	26.610001	25.02	27.200001
34.189999	114.470001	122.970001	20.959999	31.879999	26.02	15.9	26.67	25.07	27.49
34.419998	113.129997	121.540001	21.15	32.07	26.1	15.87	26.65	25.059999	27.389999
34.540001	114.449997	122.919998	21.07	31.889999	26.120001	15.93	26.709999	25.16	27.530001
34.700001	114.459999	123.089996	20.969999	31.879999	26.25	15.93	26.700001	25.110001	26.84
34.98	114.730003	123.68	21.07	32.200001	26.459999	15.91	26.709999	25.08	26.9
34.939999	115.82	125.410004	21.07	32.25	26.450001	15.92	26.639999	25.059999	26.9
35.32	115.589996	125.129997	21.24	32.639999	27.15	15.91	26.620001	25.049999	26.68
35.689999	116.919998	126.599998	21.26	33	27.450001	15.84	26.59	24.969999	25.42
35.790001	117.629997	127.720001	21.139999	32.970001	27.5	15.86	26.6	24.99	25.51
35.810001	117.68	128.520004	20.940001	32.93	27.57	15.88	26.629999	25.02	25.049999
35.860001	117.760002	128.399994	21.049999	33.139999	27.530001	15.9	26.6	25.040001	25.75
36.009998	116.57	126.739998	21.030001	33.299999	27.809999	15.88	26.59	24.91	25.280001
36.080002	117.010002	127.379997	21.09	33.540001	28.02	15.93	26.59	24.959999	25.58
36.080002	116.760002	126.919998	20.99	33.349998	27.92	15.94	26.66	24.92	25.35
36.220001	116.290001	126.110001	20.809999	33.099998	28.26	15.92	26.57	24.9	24.700001
36.09	115.970001	125.970001	21.030001	33.040001	28.290001	15.93	26.620001	24.91	25.25
36.189999	117.029999	126.449997	21.139999	32.93	28.219999	15.9	26.549999	24.870001	25.27
36.25	116.639999	126.089996	21.01	33.34	28.200001	15.84	26.52	24.83	25.25
36.099998	116.309998	126.220001	21.1	33.459999	28.129999	15.84	26.58	24.85	25.52
36.130001	117.080002	126.860001	21	33.5	28.16	15.84	26.52	24.870001	26.18
36.110001	116.389999	125.889999	20.99	33.740002	28.33	15.84	26.610001	24.940001	26.67
36.130001	115.839996	124.919998	21.110001	33.889999	28.360001	15.83	26.58	24.950001	26.620001
35.959999	116.589996	125.779999	21	33.779999	28.33	15.85	26.559999	24.950001	26.85
35.389999	116.489998	125.779999	20.639999	33.330002	28.16	15.96	26.629999	25.09	27.129999
35.509998	114.129997	122.580002	20.68	32.740002	28.16	15.99	26.68	25.08	26.6
35.5	114.18	122.970001	20.879999	33.060001	28.299999	16.02	26.67	25.09	26.790001
35.740002	115.349998	123.360001	20.92	33.049999	28.309999	15.95	26.68	25.02	26.4
35.59	115.949997	124.440002	20.84	32.919998	28.190001	15.96	26.66	25.059999	26.5
35.900002	116.150002	124.709999	20.84	33.23	28.290001	16	26.67	25.08	26.42
35.830002	116.489998	124.809998	20.84	33.240002	28.16	15.97	26.709999	25.059999	26.73
35.889999	116.68	124.900002	20.85	33.299999	28.1	16	26.719999	25.1	26.360001
35.830002	116.400002	124.839996	20.799999	33.220001	28.190001	15.99	26.75	25.110001	26.200001
35.950001	116	124.199997	20.75	33.080002	28.32	15.98	26.719999	25.1	26.370001
36.25	116.050003	124.07	20.93	33.369999	28.540001	15.98	26.700001	25.059999	26.280001
36.279999	117.889999	126.300003	20.879999	33.380001	28.790001	16.02	26.719999	25.17	26.209999
36.240002	118	127.07	20.860001	33.360001	28.610001	16.030001	26.719999	25.1	26.110001
36.049999	117.559998	126.230003	20.93	33.290001	28.42	16.040001	26.719999	25.18	27.110001
36.279999	117.190002	126.089996	20.83	33.439999	28.57	16.02	26.74	25.139999	27.01
36.290001	117.110001	126.279999	20.879999	33.490002	28.450001	16.01	26.77	25.120001	26.75
